model_name,mae,mse,r2_score,input
sample,0.0,0.0,1.0,"gender,ROI(img_size*img_size)"
djnet,0.4396921396255493,0.011235107978185018,0.8828492192479773,"gender,ROI(251*251)"
sj_vgg_variation_weight.h5,0.4398804108301799,0.024004807214388687,0.8651274528966826,"gender,ROI(251*251)"
tjnet,0.4447604815165202,0.010932190964619318,0.8860078102270693,"gender,ROI(251*251)"
tjnet,0.4281306266784668,0.011775103708108269,0.8772185859420626,"gender,ROI(251*251)"
sj_vgg_variation_weight_final,0.3907047112782796,0.02132123245885878,0.8960103443531153,"gender,ROI(251*251)"
